wavelength , correction_curve_intensity 
615.2547999999999,118.21684010350685
614.8352,117.17210616627877
614.4156,117.20821118511063
613.996,115.50438364800667
613.5763999999999,116.19118726662951
613.1568,115.57025169946712
612.7372,115.60352955596082
612.3176,118.0507130574472
611.898,115.6707734331005
611.4784,115.92512962445497
611.0588,113.97192884245902
610.6392,115.10926912291197
610.2196,115.36430755818178
609.8,115.62055446922706
609.3804,115.432332222167
608.9608,114.34998346341023
608.5412,116.84429606949442
608.1216,113.96566620750977
607.702,112.87292809383864
607.2824,112.67674238273815
606.8628,114.51250050803924
606.4431999999999,112.50827095716015
606.0236,113.8983335643285
605.604,113.02072965039014
605.1844,112.36710248130068
604.7647999999999,113.53811567617724
604.3452,112.65381880619569
603.9256,112.45400179901958
603.506,112.02328880344011
603.0864,113.20454960889194
602.6668,113.69805580618616
602.2472,112.34085940557651
601.8276,112.60257869862082
601.408,109.84030336174538
600.9884,111.73028448894763
600.5688,111.52493559614214
600.1492,111.31866091506747
599.7296,112.05108377111384
599.31,112.31608139610458
598.8904,110.69419773464492
598.4708,112.14021423992486
598.0512,110.51025043497016
597.6315999999999,111.96279909819451
597.212,109.60981864915382
596.7924,109.3952568523522
596.3728,110.85569212623768
595.9531999999999,110.40314442966414
595.5336,112.59489149238004
595.114,111.4208984219188
594.6944,111.93351676683588
594.2748,111.72161300998691
593.8552,110.53693694642783
593.4356,110.07707239965708
593.016,110.10322500310389
592.5964,109.39532063717724
592.1768,108.92926800186795
591.7572,110.42846199499702
591.3376,112.42820418209907
590.918,111.47190138849976
590.4984,111.00639812283269
590.0788,109.29656272173834
589.6592,110.068395094447
589.2396,110.84410099743627
588.8199999999999,107.11871510160248
588.4004,108.39269866843505
587.9808,109.42157679528538
587.5612,111.71657354633709
587.1415999999999,109.21959015843912
586.722,109.75147346910676
586.3024,108.25313666570695
585.8828,110.31383396002792
585.4632,107.27668327797011
585.0436,108.57720255493581
584.624,109.3709338911781
584.2044,109.91134408503032
583.7848,110.97067328862138
583.3652,106.86063356874706
582.9456,107.39863820578984
582.526,110.54037244062334
582.1064,106.9183471707378
581.6868,106.6762553551264
581.2672,108.00574942199466
580.8476,109.6050640003564
580.428,108.57742583876458
580.0083999999999,106.75157984984446
579.5888,109.41994342864402
579.1692,106.25828165154832
578.7496,108.67313721659687
578.3299999999999,106.29363188736355
577.9104,108.9892369371732
577.4908,107.40317623762648
577.0712,107.96235434496184
576.6516,106.09484472062884
576.232,107.73615799173716
575.8124,105.31488288299059
575.3928,106.690718565024
574.9732,107.80109280316886
574.5536,107.00184647478422
574.134,107.29578921760633
573.7144,107.86644390407761
573.2948,105.68087862665679
572.8752,105.97336957312152
572.4556,107.09978301765899
572.0360000000001,106.00651921099856
571.6164,103.51202956391026
571.1967999999999,107.43863069441645
570.7772,105.21456203272066
570.3576,107.19830751279609
569.938,105.80729756681524
569.5183999999999,106.38897896667807
569.0988,105.55510081377153
568.6792,106.42371894320569
568.2596,102.7313360075307
567.8399999999999,103.88282149486083
567.4204,103.89279641765859
567.0008,106.49308995540838
566.5812,105.06716637922595
566.1616,104.50134250066506
565.742,104.80307116592112
565.3224,105.688732092757
564.9028,104.82741825671685
564.4832,103.66811761261462
564.0636,104.55783854276287
563.644,103.09614767763726
563.2244000000001,102.80744967406935
562.8048,103.10950368303278
562.3851999999999,103.41319991893495
561.9656,104.01659133955238
561.546,101.33524745394469
561.1264,102.53538748658445
560.7067999999999,103.44181962693837
560.2872,102.24231030674638
559.8676,103.75798776507924
559.448,105.28259598510166
559.0283999999999,104.38164885450117
558.6088,104.69605479775828
558.1892,101.6444554337468
557.7696,102.25922891943232
557.35,103.49359982159635
556.9304,103.49949535218161
556.5108,103.81514699585932
556.0912,102.8891763963201
555.6716,100.71016285735446
555.252,103.52164270872986
554.8324,102.27193215742827
554.4128000000001,101.64368594004763
553.9932,101.64268025312244
553.5735999999999,102.27475604652302
553.154,101.95769370848522
552.7344,101.00122237325922
552.3148,101.31701622488619
551.8951999999999,101.31397295749372
551.4756,100.34584016704612
551.056,98.40349524831896
550.6364,100.0088581883794
550.2167999999999,100.32546470203592
549.7972,101.62098993155466
549.3776,99.0036044560266
548.958,98.99159096637412
548.5384,99.30811278783241
548.1188,98.30688261610193
547.6992,100.60847758925023
547.2796,100.26855061167718
546.86,97.9276654772015
546.4404,98.91303860058413
546.0208,100.23981951205195
545.6012,98.88426180094471
545.1816,99.54423887382436
544.762,97.83849109323707
544.3424,99.85746851957113
543.9228,100.5263916166187
543.5032,97.43866859255002
543.0835999999999,97.76047436448683
542.664,97.05168336151965
542.2444,97.02851447008156
541.8248,98.0442613608695
541.4051999999999,96.98090220738428
540.9856,98.00273844625275
540.566,96.58161388968944
540.1464,96.9061997538908
539.7268,95.82351949580767
539.3072,96.50064859217807
538.8876,95.05400012794995
538.468,95.37665192441958
538.0484,96.41539485326646
537.6288,96.38599084884693
537.2092,96.7156193133756
536.7896,97.4079707873587
536.37,97.38074894463323
535.9504,93.72044618357977
535.5308,95.86673215344335
535.1112,94.36982434253451
534.6916,94.69742146312754
534.2719999999999,95.39529817914327
533.8524,94.9888976677169
533.4328,96.06291864700856
533.0132,95.28313716644259
532.5935999999999,95.61805522520493
532.174,93.33122070769242
531.7544,94.41321522125894
531.3348,92.8601667968234
530.9152,95.46276472981727
530.4956,93.14134499799258
530.076,93.855197892557
529.6564,92.27646005330398
529.2368,91.45456087664938
528.8172,91.01203428710001
528.3976,92.50112509524347
527.978,92.44688133510479
527.5584,92.00203063640177
527.1388,92.72733468498942
526.7192,91.88682332919491
526.2996,91.0397901975118
525.88,90.18617180624148
525.4603999999999,90.91392007441293
525.0408,92.4435580844512
524.6212,89.18488911707179
524.2016,91.92288195426701
523.782,89.44310356116978
523.3624,89.77524674335477
522.9428,91.73305150636943
522.5232,93.70505882340777
522.1036,89.55733443278788
521.684,91.94560132967979
521.2644,90.64327288591174
520.8448,89.74425644094742
520.4252,90.49853318825922
520.0056,88.75786802781484
519.586,89.09496870247045
519.1664,88.59443967172938
518.7468,87.66816310302586
518.3272,88.84982287301413
517.9076,88.34123271496185
517.488,90.81273006483032
517.0684,91.1628535407343
516.6487999999999,87.21871940048081
516.2292,89.71324296445458
515.8096,90.06173567155952
515.39,87.80440777906198
514.9704,85.52896501102116
514.5508,88.05411087098447
514.1312,89.71900063487797
513.7116,88.30579320275945
513.292,88.21074441975381
512.8724,85.88932935786048
